siz,val,se,ci_l,ci_h
20,-.8284431,.1006111,-1.025641,-.6312454
20.5,-.7087864,.0795924,-.8647875,-.5527854
21,-.6213989,.0647819,-.7483714,-.4944265
21.5,-.5662805,.0557155,-.6754829,-.4570781
22,-.5434312,.0511489,-.6436831,-.4431794
22.5,-.5528511,.049534,-.6499377,-.4557645
23,-.5945401,.0499967,-.6925336,-.4965465
23.5,-.6684982,.052914,-.7722096,-.5647866
24,-.7747254,.0596832,-.8917043,-.6577464
24.5,-.9132217,.0718074,-1.053964,-.7724792
25,-1.083987,.0900828,-1.260549,-.9074249
25.5,-1.287022,.1145973,-1.511632,-1.062411
26,-1.522326,.1451417,-1.806803,-1.237848
26.5,-1.789898,.1814795,-2.145598,-1.434198
27,-2.08974,.2234282,-2.527659,-1.651821
27.5,-2.421851,.2708613,-2.952739,-1.890963
28,-2.786232,.3236941,-3.420672,-2.151791
28.5,-3.182881,.38187,-3.931346,-2.434416
29,-3.611799,.4453502,-4.484686,-2.738913
29.5,-4.072987,.514108,-5.080639,-3.065335
30,-4.566443,.5881247,-5.719168,-3.413719
