year,coef,se,ci_low,ci_high
2010,-.0949815,.0485299,-.1901002,.0001372
2011,-.1148751,.0289416,-.1716007,-.0581496
2012,-.0175245,.0441292,-.1040177,.0689688
2013,.0709571,.0584971,-.0436972,.1856114
2014,.1362034,.0807562,-.0220787,.2944855
2015,.1246287,.1073562,-.0857894,.3350468
2016,.2290219,.0839356,.0645081,.3935356
2017,.1582263,.0884024,-.0150424,.331495
2018,.1504541,.092877,-.0315848,.3324931
2019,-.0027691,.100039,-.1988456,.1933073
2020,-.0817499,.0942763,-.2665316,.1030317
2021,-.311785,.0897232,-.4876425,-.1359274
2022,-.3663098,.075859,-.5149933,-.2176262
2023,-.2937783,.0724022,-.4356867,-.1518699
2024,.0857478,.0045344,.0768604,.0946352
2025,.0751066,.0197781,.0363416,.1138715
