
="",="m1",="m1_ife",="m2_soe",="m2_private",="m3"

="npr",="-0.6273***",="-0.6273***",="-0.8385***",="-0.5112***",="-0.5814***"
="",="(0.0548)",="(0.0159)",="(0.0671)",="(0.0401)",="(0.0549)"

="npr_soe",="",="",="",="",="-0.1961**"
="",="",="",="",="",="(0.0530)"

="m2_growth",="",="0.0000",="",="",=""
="",="",="(.)",="",="",=""

="size",="0.0811***",="0.0811***",="0.0738***",="0.0741***",="0.0814***"
="",="(0.0046)",="(0.0020)",="(0.0072)",="(0.0057)",="(0.0046)"

="tang",="0.0761**",="0.0761***",="0.0163",="0.1176***",="0.0761**"
="",="(0.0196)",="(0.0109)",="(0.0320)",="(0.0252)",="(0.0195)"

="growth",="0.0326**",="0.0326***",="0.0279*",="0.0408**",="0.0322**"
="",="(0.0105)",="(0.0030)",="(0.0108)",="(0.0104)",="(0.0104)"

="ndts",="0.5839**",="0.5839***",="-0.5923",="0.9660***",="0.6141**"
="",="(0.1841)",="(0.0935)",="(0.3187)",="(0.2069)",="(0.1833)"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
